updated_jobtitle,sorted_skills
Branch Manager (Location  KONASEEMA),"('Customer Service', 'Retail Banking', 'Sales', 'Team Management')"
Branch Manager(Broking),"('branch manager', 'brokerage generation', 'broking', 'equity', 'equity dealer', 'equity derivatives', 'team handling', 'team management')"
Branch Operations Manager (Location  Mulugu),"('Branch Operations', 'Cross Selling', 'Customer Service', 'Retail Banking')"
Brand Executive / Brand Manager,"('Brand Campaigns', 'Brand Executive', 'Brand Management', 'Brand Manager', 'Brand Marketing', 'Brand Strategy', 'Branding', 'Digital Marketing', 'Social Media', 'Social media handling')"
Business Development Manager,"('Architects', 'Builders', 'Civil Consultants', 'Communication Skills', 'Dealer Network', 'Interior Designers', 'Local Language', 'Private  Government Projects', 'Product Knowledge', 'agency development', 'agency development manager', 'agency sales', 'agent recruitment', 'any', 'area sales manager', 'assistant branch manager', 'b2b sales', 'banca', 'banca channel', 'bancassurance', 'bdm', 'buisness development', 'business', 'business analysis', 'business development', 'business development management', 'business development manager', 'business management skills', 'business planning', 'business research', 'channel', 'channel development management', 'channel sales', 'client development', 'client management', 'cold calling', 'communication', 'communication skills', 'development', 'direct sales', 'distribution manager', 'expansion', 'field', 'field sales', 'field work', 'global', 'good', 'insurance', 'insurance broking', 'insurance sales', 'key account management', 'lead generation', 'life insurance', 'manager', 'market', 'market development', 'marketing', 'medical representative', 'outside sales', 'overseas', 'pharma marketing', 'pharmaceutical sales', 'privilege consultant', 'relationship manager', 'sales', 'sales coordination', 'sales executive', 'sales management', 'sales manager', 'sales markiting', 'sales officer', 'sales operations', 'sr.relationship manager', 'sr.sales manager', 'strategist', 'unit manager')"
CASA Acquisition Manager,"('banking sales', 'casa', 'casa sales')"
CHANNEL SALES MANAGER,"('Audio Visual', 'Channel Sales', 'Dealers', 'Distributors')"
Caspian Impact Investments - Manager/Senior Manager - Investment,"('Excel', 'MS Word', 'PowerPoint', 'deal analysis', 'due diligence', 'establishing partnerships', 'financial modeling', 'financial statement analysis', 'investment evaluation', 'investmentrelated activities', 'organizing events', 'portfolio monitoring', 'presentations', 'primary', 'reporting', 'secondary research')"
Catering Manager,"('Agile', 'VDA', 'Web30', 'collaboration', 'communication', 'documentation', 'engineering', 'engineering consultancy', 'engineering management', 'engineering procurement', 'engineering project management', 'engineering projects', 'people management', 'performance management', 'product development', 'recruitment', 'requirements management', 'skills', 'technical architecture')"
Consolidation Manager,"('Analytical', 'Communication Skills', 'Excellent Interpersonal', 'Good Microsoft Office Skills', 'Knowledge of changes in the Accounting Standards applied under IFRS', 'Networking Skills', 'Positive approach', 'Problem solving', 'Results orientation', 'Teamwork', 'collaboration', 'communication skills', 'leadership', 'risk management')"
Content Marketing Manager / General Manager,"('customer marketing', 'email marketing', 'marketing communication', 'marketing management')"
Contract Manager,"('attention to detail', 'conflict resolution', 'construction cost control', 'contract administration', 'contract logistics', 'contract management', 'contract manufacturing', 'creativity', 'emotional intelligence', 'leadership management', 'negotiation', 'problem solving', 'project control', 'strategic planning', 'team building', 'team handling', 'time management')"
Customer Success Manager,"('Customer support  Service', 'GPS Knowledge', 'Team Handling')"
DIGITAL ENGAGEMENT MANAGER EXP  2 TO5 YRS,"('ads', 'facebook fan page creation', 'google adwords', 'media planning')"
Database Manager,"('copying', 'data entry', 'data entry typing', 'data entry work from home', 'home work', 'manual', 'typing', 'typing speed')"
Dealer cum Rm,"('brokerage generation', 'broking', 'demat', 'equity broking', 'equity dealer', 'equity derivatives', 'equity sales', 'stock market', 'third party products')"
Deputy Manager - Dealer Sales-North,"('Business Development', 'Business Opportunities Identification', 'Channel Management', 'Competitive Analysis', 'Credit Policy', 'Market Analysis', 'Risk Mitigation', 'Sales', 'Sales Reporting', 'Team Management')"
Deputy Manager/Manager - A&R (North),"('artist manager', 'business development', 'networking')"
Deputy Manager/Manager - Corporate Strategy & Business Development,"('Business Development', 'Market Research', 'Marketing', 'Pharmaceuticals', 'Portfolio planning')"
Digital Engagement Manager  Bangalore,"('ads', 'facebook fan page creation', 'google adwords', 'media planning')"
Digital Marketing Manager/SEO Manager,"('Business Analysis', 'Business Profitability', 'CSS', 'Digital Strategy', 'Digital marketing', 'English', 'Facebook', 'Facebook Ads Manager', 'Google AdWords', 'Google analytics', 'HTML', 'Hindi', 'JavaScript', 'Microsoft Excel', 'PPC', 'Relationship Manager', 'SEM', 'SEO', 'SEOSEM', 'Telugu', 'datadriven thinking', 'display advertising', 'email', 'landing pages', 'marketing database', 'social media', 'user experience', 'website analytics')"
Engineering Manager Settle in Germany,"('autocad', 'engineering', 'engineering manager', 'manufacturing', 'product development', 'project engineering', 'project management', 'project planning')"
Enterprise Sales Manager -Insta VC( Mutiple Locations)),"('B2B Sales', 'Business Development', 'Channel Sales', 'Cold Calling', 'Corporate Sales', 'Online Lead Generation', 'Sales', 'inside sales')"
Enterprise Sales Officer,"('b2b sales', 'banking', 'banking sales', 'corporate sales', 'customer acquisition', 'customer interaction', 'customer relationship', 'direct sales', 'distribution management', 'distribution planning', 'enterprise sales', 'field', 'field sales', 'field work', 'financial services', 'fmcg sales', 'home loans', 'officer', 'retail sales', 'sales', 'sales administration', 'sales development', 'telecom sales')"
Executive / Sr. Executive/ Assistant Manager Statutory Compliance,"('compliance', 'contract labour', 'grievance handling', 'labour laws', 'license management', 'manpower analysis', 'manpower budgeting', 'manpower planning', 'statutory compliance', 'talent acquisition', 'talent sourcing')"
Export Sales Manager - Mattress,"('Export Business Development', 'Export Sales Manager', 'International Business Development Executive', 'International Marketing', 'Mattress International Sales', 'Overseas Marketing')"
Facilities Specialist,"('ability to coordinate manage multiple projects', 'analytical skills to analyze track complex space', 'equipment financial data', 'excel', 'interpersonal skills', 'inventory control', 'powerpoint', 'project', 'word')"
Facility Manager / Estate Manager,"('administration', 'commercial facilities', 'estate management', 'facilities operations', 'facility management')"
Factory Manager - Roofing Company - Guwahati,"('Dispatch Manager', 'Factory Manager', 'Manufacturing Manager', 'Production', 'Quality', 'Team handling')"
Finance Manager  In AUSTRALIA,"('FA Manager', 'Finance Control', 'Finance Manager', 'Finance officer', 'cash flow', 'finance', 'finance control', 'finance manager', 'financial management', 'financial planning', 'financial services', 'ledger')"
Finance Manager Required- CANADA,"('banquet operations', 'cafeteria management', 'catering', 'cooking', 'finance accounting', 'finance accounts', 'finance control', 'finance manager', 'financial management', 'food', 'housekeeping', 'housekeeping management', 'kitchen', 'laundry rooms', 'laundry services', 'management', 'menu costing', 'menu development', 'menu engineering', 'restaurant', 'washers')"
Food And Beverage Manager,"('banquets', 'communication', 'customer', 'hotel management', 'hotel operations', 'leadership', 'management', 'organization', 'problem', 'resort management', 'restaurant', 'service', 'solving', 'time')"
Food and Beverage Manager urgently required in Sweden apply now,"('banquet operations', 'banquet sales', 'food cost management', 'new restaurant openings', 'restaurant', 'restaurant management')"
For Head Chef,"('collaborate', 'communication skills', 'culinary expertise', 'good distribution practice', 'head chef', 'ingredient selection', 'leadership', 'server administration', 'workstations')"
Front Office Manager,"('front controller', 'front desk', 'front desk reception', 'front office management', 'front office operations')"
GM- COMMERCIAL SALES  BANGALORE,"('commercial sales', 'commercial vehicle', 'fleet sales', 'sales')"
GM- CS  BANGALORE,"('commercial sales', 'commercial vehicle', 'fleet sales', 'sales')"
GM- Commercial sales  Bangalore,"('commercial sales', 'commercial vehicle', 'fleet sales', 'sales')"
GREAT OPPORTUNITY FOR RELATIONSHIP MANAGER,"('branch sales', 'casa sales', 'collections', 'counter sales', 'demat', 'insurance', 'relationship marketing', 'telecalling', 'telesales')"
General Manager - Leadership Development,"('Development', 'General Manager', 'Knowledge', 'Leadership', 'Management', 'Manager', 'Skills', 'Technical Competencies')"
Guest Relations Manager can now work in Canada & Australia,"('customer satisfaction', 'data entry', 'guest booking', 'guest handling', 'guest relation', 'guest service', 'guest service management', 'hotel management', 'hotel operations', 'room division')"
HIRE FOR  _GM_ BANGALORE,"('commercial sales', 'commercial vehicle', 'fleet sales', 'sales')"
HR MANAGER BANGALORE,"('hr generalist activities', 'hr management', 'hr operations')"
HR Manager  Bangalore,"('hr generalist activities', 'hr management', 'hr operations')"
HR Manager - Hospitality,"('hotels', 'hr manager', 'human resource', 'talent acquisition')"
Hiring  Sales Manager For Aviva Life Insurance Salary 4.5Lac,"('a', 'agency manager', 'development manager', 'e', 'insurance sales', 'l', 'relationship manager', 's', 'sales', 'sales executive', 'sales manager', 'sales officer', 'unit manager')"
Hiring for SCOM + Zabbix,"('active', 'administration', 'directory', 'implementation', 'operating', 'scom', 'server', 'systems', 'zabbix')"
Hiring for Sales/Relationship Manager || Banking & NBFC || Uttar Pradesh,"('banking sales', 'communication skills', 'convincing power', 'graduated', 'home loans', 'loan against property', 'onroll', 'sales')"
Hni Dealer(Broking),"('brokerage generation', 'broking', 'equity advisory', 'equity broking', 'equity derivatives', 'portfolio management')"
Home loan Sales officer,"('field sales', 'home loans', 'sales')"
Hotel Manager,"('Accounting', 'Communication skills', 'Excel', 'assistant work', 'business development', 'casa sales', 'communication', 'communication skills', 'cross selling', 'current accounts', 'customer relationship', 'customer service', 'decision making', 'hotel housekeeping', 'hotel management', 'hotel operations', 'hotel sales', 'interpersonal skills', 'leadership', 'market research', 'operations management', 'organization', 'problem solving', 'reporting', 'retail branch banking', 'sales', 'time management')"
Housekeeper,"('clean public spaces', 'communication skills', 'laundry', 'making beds', 'mopping')"
Housekeeping  Manager  In UNITED KINGDOM,"('banquet operations', 'cafeteria management', 'catering', 'cleaning', 'cooking', 'food', 'food quality', 'food quality control', 'food safety', 'hospitality', 'housekeeping', 'housekeeping executive', 'housekeeping management', 'housekeeping manager', 'hygienist activities', 'kitchen', 'laundry rooms', 'laundry services', 'management', 'menu costing', 'menu development', 'menu engineering', 'restaurant', 'safety regulations', 'washers')"
Hr officer-,"('Attendance  Payroll', 'Audits', 'Contract Management', 'ESI', 'Factory', 'HR Associate', 'HR Coordinator', 'HR Executive', 'HR Manager', 'HR Officer', 'IR', 'Labour dept', 'Laison', 'Legal', 'PF compliance', 'Statutory compliances')"
Human Resources Manager,"('Communication Skills', 'Confidentiality', 'Development', 'Employment Management', 'Garments', 'HR Manager', 'Human Resource', 'Influencing Skills', 'Manufacturing', 'Post Graduate Degree', 'Presentation Skills', 'Process Industries', 'Research Skills', 'Technology Friendliness', 'Textiles', 'hr project management', 'human capital management', 'human machine interface', 'human resource management', 'it recruitment', 'operations management', 'payroll management', 'staff appraisal', 'staff management', 'staff orientation', 'staff retention')"
IT Manager- International Business,"('Application development', 'Automation', 'Business continuity planning', 'CRM systems', 'Communication', 'Data management', 'IT infrastructure', 'IT management', 'IT security', 'Interpersonal skills', 'Leadership', 'Project management', 'Technology research', 'User training', 'Vendor management', 'innovation', 'support')"
IT Project Manager & Incharge-Applications Support(MNC Financial Services Co),"('bfsi it', 'it applications support', 'it program management', 'it project management', 'project management')"
Inside Sales - Spot Offer - Training Given,"('life insurance', 'pre sales', 'sales', 'telesales')"
Investment Manager(Real Estate Sales Manager),"('business development', 'client handling', 'closing', 'communication', 'interpersonal skills', 'negotiation', 'property management', 'real estate sales', 'sales')"
Laboratory Technician,"('analysis', 'calibration', 'chemistry', 'communication', 'customer service', 'detail-oriented', 'maintenance', 'microbiology', 'quality control')"
Leading role for Business Development Manager in Aditya Birla Capital,"('agency', 'agency sales', 'agent recruitment', 'casa sales', 'direct sales', 'field sales', 'manager')"
Logistic Manager  In  UNITED KINGDOM,"('admin manager', 'administration management', 'administration work', 'administrative operations', 'administrative support', 'logistic manager', 'logistics', 'logistics management', 'logistics operations', 'logistics planning')"
Logistics Manager,"('data analysis', 'inventory control', 'logistics', 'logistics coordination', 'logistics management', 'report generation', 'supply chain management', 'transportation management')"
Manager (Admissions),"('Customer Service', 'Institutional Branding', 'Leadership', 'MBA', 'MS Excel', 'Social Media Marketing')"
Manager - Customer Service Operations(Rotational 24x7 shifts),"('Linux', 'MSSQL', 'MongoDB', 'MySQL')"
Manager - Customer Success Management (Customer Success...,"('48 yrs experience', 'Adoption usage', 'Churn Management', 'Contract Manager', 'Contractual obligations', 'Customer Service', 'Customer Success Management', 'Customer champion', 'Customer voice', 'Delivery relationship', 'Engineer', 'Engineering', 'Graduate engineering', 'Gross Revenue Growth', 'Key issues', 'Legal', 'Management', 'Manager', 'NPS', 'Operational', 'Priorities', 'Profitability agenda', 'Renewals', 'Retention', 'Revenue opportunities', 'Service expectations', 'Stakeholders expectations', 'Supervisory management', 'Tata Communication', 'Technical Support', 'Technical support', 'Technology', 'Training', 'Transition', 'Trusted Advisor')"
Manager - MEP Contracts & Procurement,"('mep', 'mep coordination', 'procurement')"
Manager - Platform Planning & Design,"('CRM tools', 'TelecomISP domain', 'Validation', 'Verbal communication', 'account manager', 'assurance', 'change management', 'enterprise customer', 'inventory build', 'people management', 'project management', 'technical program management', 'telco products', 'written communication')"
Manager Costing & Budgeting,"('boq preparation', 'quantity estimation', 'rcc work')"
Manager Finance Legal,"('Analytical Thinking', 'Client Management', 'Information Gathering')"
Manager Sales,"('CRM software', 'communication', 'interpersonal skills', 'leadership', 'real estate sales', 'sales automation tools', 'sales coordination', 'sales management', 'sales process')"
Manager-CA,"('audits', 'budgeting', 'financial accounting', 'financial planning', 'sap', 'taxation')"
Manager-IPO Fund End Use Monitoring/ Audit (CA),"('audit', 'ca', 'funds end use monitoring', 'ipo funds end use monitoring')"
Manager/Asst. Manager Post-Sales Operations,"('Detailing', 'Manager Post', 'Mis', 'Relations', 'Sales Operations', 'Sales Support')"
Manager/Senior Manager- Placements and Internships,"('B2M Sales  Marketing', 'Campus Recruitment', 'KeyAccounts management', 'MS Excel', 'MS PowerPoint', 'MS Word', 'interpersonal skills', 'travel', 'verbal communication', 'written communication')"
Manager/Sr Manager - Sales & BD,"('Business Case Preparation', 'Business Development', 'Campaign Designing', 'Claims Management', 'Competitor Monitoring', 'Distributor Management', 'KPI Dashboard', 'Market Assessment', 'Negotiation', 'New Product Launch', 'Pricing', 'RetailerWholesaler Meets', 'Rx Portfolios', 'Sales', 'Sales Monitoring', 'Throughput Sales', 'Trade Communications', 'Trade Schemes')"
Mega Walk-in Drive for Platinum Relationship Manager Household Chennai,"('casa sales', 'portfolio management', 'relationship management', 'wealth management')"
NATIONAL SALES MANAGER MUMBAI DERMA OPTHAL SEGMENT,"('National Sales Manager', 'Sales')"
Office Manager  In CANADA- Overseas Only,"('accounts', 'customer relations', 'filing', 'following up', 'management', 'microsoft office', 'office operations', 'office services', 'summarizing information')"
Opening For Associate Manager - CASA Acquisition For Reputed Private Bank,"('casa', 'casa sales', 'sales')"
Opening for GM_ Bangalore,"('commercial sales', 'commercial vehicle', 'fleet sales', 'sales')"
Opening for General Manager - Automobile - Sales,"('business development', 'marketing', 'sales')"
Opening for Territory Sales Manager for Reputed Private Bank,"('dsa', 'loan', 'manager', 'personal', 'sales', 'territory', 'trade finance', 'trade finance operations', 'trade operations')"
Openings For Agency Manager,"('agency development', 'agency sales', 'agent development', 'agent recruitment', 'business development', 'insurance agency management', 'lead generation')"
Operations Manager - Document Specialist,"('clinical data management', 'clinical monitoring', 'clinical pharmacology', 'clinical research', 'clinical research associates', 'clinical trials')"
Platinum Relationship Manager,"('CMS', 'banking', 'banking relationships', 'banking standards', 'casa sales', 'communication', 'customer care', 'customer relationship', 'customer service', 'customer service management', 'customer service operations', 'customer service orientation', 'customer support', 'customized banking', 'digital initialization', 'operations', 'personal banking', 'portfolio management', 'pressure handling', 'process monitoring', 'product policy', 'regulatory guidelines', 'relationship building', 'relationship management', 'retail sales', 'risk management', 'sales', 'sales coordination', 'sales support', 'sector specific banking')"
Position Open Sr Project Manager Webmethods,"('agile scrum', 'bamboo', 'bitbucket', 'jenkins', 'project manager', 'webmethods')"
Position Open for Senior Project Manager _webmethods,"('agile scrum', 'bamboo', 'bitbucket', 'jenkins', 'project manager', 'webmethods')"
Premier Corporate Acquisition Manager - Corporate Salary,"('acquisition', 'b2b sales', 'banking sales', 'cold calling', 'corporate sales', 'cross selling', 'salary account')"
Procurement Manager,"('coordination', 'customer service management', 'delivery operations', 'front office operations', 'logistics coordination', 'logistics management', 'marketing communication', 'procurement consulting', 'procurement management', 'purchase management', 'purchase planning', 'supplier development', 'supply chain management', 'supply chain operations', 'transition management')"
Product Sales Marketing Manager,"('BE in MechanicalChemicalProduction', 'Boilers', 'Contractors', 'EPC Consultants', 'Leadership', 'MBA in Marketing', 'Managerial Skills', 'Marketing', 'Mechanical Seals', 'Mentorship', 'Oil', 'Petrochemical Industry', 'Pumps', 'Relationship Management', 'Sales', 'Steam Traps', 'Valves', 'agrichannel marketing', 'automotive sales', 'channel campaigns', 'crop manager', 'crop strategies', 'data analysis', 'distribution center operations', 'establish Marketing Development activities', 'food packaging', 'knowledge of important crops', 'marketing', 'marketing manager', 'packaging development', 'product launch', 'product manager', 'sales', 'sales process', 'selling', 'warehouse management')"
Project Manager,"('ITSM industry', 'Ops', 'Project Management skills', 'acute thehrapy', 'acute therapy', 'analytical thinking', 'anti biotics', 'antibiotics', 'antibiotics gi', 'budget forecasting', 'budget management', 'budget oversight', 'budget preparation', 'budgetary analysis', 'budgetary control', 'civil construction', 'civil engineering', 'civil engineering design', 'civil engineering drafting', 'civil infrastructure', 'civil maintenance', 'civil project', 'civil project management', 'civil site engineering', 'civil supervision', 'construction management', 'cost control', 'cost optimization', 'data analysis', 'decision making', 'derma', 'detail-oriented', 'digital', 'gastro', 'gastrointestinal', 'gastroitestinal', 'gi', 'group product management', 'group product manager', 'growth management', 'managing managers', 'manpower planning', 'mathematics', 'mutual funds', 'organizational skills', 'outage management', 'planning', 'plant engineering', 'plant operations', 'proactive', 'product management', 'product manager', 'product marketing', 'project control', 'project coordination', 'project engineering', 'project execution', 'project manager mentoring', 'project managers', 'revenue', 'tech transformation skills')"
Project Manager - Java (8-10 years) - Nagpur,"('agile', 'agile methodologies', 'architecture frameworks', 'basic', 'business requirements', 'customer relations', 'delivery', 'digital transformation', 'fit', 'java', 'problem solving', 'programming languages', 'project delivery', 'project management', 'project planning', 'proposal preparation', 'reporting', 'sdlc', 'subject matter experts', 'thought leadership')"
Purchase & Stores - Asst. Manager / Dy. Manager - Purchase,"('communication', 'negotiation', 'payment coordination', 'stock verification', 'vendor shortlisting', 'vendor sourcing')"
Purchase Executive/Manager for Vasundhara Ghaziabad UP Gurgaon,"('purchase', 'purchase contracts', 'purchase executive', 'purchase management', 'purchase manager', 'purchase order', 'purchase requisition')"
Purchasing Manager,"('Electrical  Electronics MaterialEquipments', 'Inventory Manager', 'Procurement', 'Purchase Manager', 'Sourcing', 'Supply Chain Operations', 'Vendor Management', 'communication skills', 'leadership', 'negotiation skill', 'organizational skills', 'procurement', 'purchase', 'purchase management', 'purchase order', 'purchase planning', 'risk management', 'strategic sourcing', 'supplier relationships')"
Quality Manager-automobile industry,"('Quality Engineer', 'Quality Manager', 'Quality controller', 'quality assurance')"
RDM- Recruitment Development Manager insurance,"('agency development manager', 'agency manager', 'agency sales', 'area sales manager', 'business development', 'business development manager', 'development manager', 'direct sales', 'distribution manager', 'field work', 'general insurance', 'health insurance', 'life insurance', 'relationship manager', 'sales', 'sales development manager', 'sales executive', 'sales manager', 'sales officer', 'unit manager')"
RM CUM DEALER,"('brokerage generation', 'broking', 'demat', 'equity broking', 'equity dealer', 'equity derivatives', 'equity sales', 'stock market', 'third party products')"
Recruitment Consultant Work from Home,"('recruitment', 'ta', 'talent acquisition')"
Regional Business Manager Pharmaceutical Co.,"('analytical ability', 'business development', 'customer relationship', 'interpersonal skills', 'leadership skills', 'medical sales', 'pharma marketing', 'pharma sales', 'pharmaceutical sales', 'problem solving', 'profit centre management', 'relationship management', 'target achievement', 'team handling', 'team leading skills', 'team training motivation')"
Regional Manager in Sales Business Development,"('Business Development', 'Client Relationship Management', 'Cold Calling', 'Commercial Terms', 'Dealer  Distributor Network Management', 'Enquiry Handling', 'Exhibition  Promotional Activities', 'Lead Generation', 'Negotiation', 'Order Booking', 'Payment Follow Up', 'Price Bid Opening', 'Project Execution', 'Quotation Submission', 'Site Installation', 'Technical Meetings', 'Technical Presentations')"
Regional Sales Manager - West Modern Trade,"('Budgeting', 'Customer relationship management', 'Distributorcustomer complaints', 'Grievances handling', 'Modern Trade', 'Regional Manager', 'Retail coverage', 'Sales volumes')"
Relationship Manager,"('Operations Manager', 'application management', 'backend', 'backend operations', 'branch banking', 'branch handling', 'branch management', 'branch operation', 'budget administration', 'budgeting', 'business', 'communication skills', 'customer service', 'financial principles', 'forecasting', 'inventory management', 'it project management', 'leadership', 'leadership ability', 'management', 'manager', 'menu planning', 'operation', 'operational risk management', 'operations', 'operations leadership', 'operations management', 'organisational skills', 'organizational effectiveness', 'plant engineering', 'plant head', 'plant operations', 'project management', 'schedule staff shifts', 'staff management', 'team management', 'transportation management')"
Relationship Manager - Banca Channel,"('Acquisition', 'Banking', 'Business Development', 'Crossselling', 'Customer Relationship Management', 'Customer Service', 'Financial Services', 'Market Research', 'Negotiation', 'New Business Development', 'Prospecting', 'Revenue Generation', 'Sales', 'Working Capital Management', 'banca sales', 'broking', 'corporate salary', 'cross selling', 'insurance sales', 'mutual funds sales', 'nism', 'relationship manager')"
Relationship Manager - Mid Corporate - Sales - Bhopal - MP Nagar - MM,"('Acquisition', 'Bank Guarantee', 'Business Development', 'Cash Credit', 'Customer Relationship Management', 'Dealer Finance', 'Financial Services', 'Letter of Credit', 'Market Research', 'New Business Development', 'Overdraft', 'Prospecting', 'Retail Cross Selling', 'Revenue Generation', 'Sales', 'Sales Query Handling', 'Service Query Handling', 'Term Loan', 'Trade Vertical Setup', 'Vendor Finance', 'Working Capital Management')"
Relationship Manager Customer Engagement - RMCE,"('banking relationships', 'banking sales', 'cross selling', 'customer relationship', 'hni banking', 'hni client handling', 'hni sales', 'lead generation')"
Relationship Manager for General Insurance Dealership C...,"('Car Insurance', 'Dealer Networks', 'Dealer Partners', 'Dealership Channel', 'General Insurance', 'Insurance Sales', 'Motor Insurance', 'Relationship Manager', 'Sales')"
Relationship Manager-Retail Banking,"('area sales', 'b2b sales', 'banca sales', 'bancassurance sales', 'banker', 'banking sales', 'business banking', 'business development', 'business development executive', 'casa sales', 'cold calling', 'communication', 'direct sales', 'field sales', 'insurance sales', 'lap', 'lead generation', 'life insurance', 'loan against property', 'manager', 'outside sales', 'personal', 'relationship', 'relationship management', 'relationship manager', 'retail banking', 'sales', 'sales executive activities', 'sbb', 'small business banking', 'term loan', 'territory sales', 'working capital', 'working capital finance')"
Relationship Manager-Retail Banking Group (PAN India),"('banking sales', 'casa sales', 'direct sales', 'field sales', 'insurance sales', 'lead generation', 'outside sales', 'relationship management', 'relationship manager', 'retail banking')"
